lon,lat,division,booth_info,premises,opening_hours,has_bbq,address,source,state,polling_place_name,has_nothing,has_caek,extra_info,polling_place_type,has_run_out,has_other,stall_name,stall_description,stall_website,first_report,latest_report
138.4561066,-35.3248848,Finniss, ;  Full Wheelchair Access,Sellicks Beach Community Hall,,0,Riviera Dr SELLICKS BEACH SA,,SA,Sellicks Beach,0,0,,,,,,,
138.628766,-34.958046,Unley, ;  Full Wheelchair Access,Fullarton Scout Hall,,0,1A Culross Ave MYRTLE BANK SA,,SA,Myrtle Bank,0,0,,,,,,,
138.9025339,-35.0379736,Kavel, ;  Assisted Wheelchair Access,Nairne Primary School,,0,Saleyard Rd NAIRNE SA,,SA,Nairne,1,0,,,,,,,
138.6990975,-34.67257,Napier, ;  Assisted Wheelchair Access,Munno Para Primary School,,0,Maltarra Rd MUNNO PARA SA,,SA,Munno Para East,0,0,,,,,,,
139.2716606,-35.1167076,Hammond,via Mannum Rd/Ind St;  Assisted Wheelchair Access,Murray Bridge Primary School,,0,North Tce MURRAY BRIDGE SA,,SA,Murray Bridge,0,0,,,,,,,
144.9006185,-37.7943963,Hammond, ;  Assisted Wheelchair Access,Murray Bridge Basketball Stadium,,0,Princes Hwy East MURRAY BRIDGE EAST SA,,SA,Murray Bridge East,0,0,,,,,,,
139.2854968,-35.1334483,Hammond,Gym via Long Island Road;  Assisted Wheelchair Access,Murray Bridge High School,,0,Lohmann St MURRAY BRIDGE SA,,SA,Murray Bridge South,0,0,,,,,,,
139.264831,-35.126242,Hammond, ;  No Wheelchair Access,Bridge Evangelical Christian Church,,0,10 Thomas Street MURRAY BRIDGE SA,,SA,Murray Bridge West,0,0,,,,,,,
138.7600186,-35.0434131,Heysen, ;  Full Wheelchair Access,Mylor Community Hall,,0,Strathalbyn Rd MYLOR SA,,SA,Mylor,0,0,,,,,,,
139.3553081,-35.04071,Hammond, ;  Assisted Wheelchair Access,Mypolonga Institute,,0,Green St MYPOLONGA SA,,SA,Mypolonga,0,0,,,,,,,
138.4661984,-35.3916894,Finniss,via Oval Road Car Park;  Full Wheelchair Access,"Myponga Primary School ""The Shed""",,0,Hutchinson St MYPONGA SA,,SA,Myponga,0,0,,,,,,,
138.856842,-35.074275,Kavel, ;  Assisted Wheelchair Access,Mount Barker High School,,0,2 Wellington Rd MOUNT BARKER SA,,SA,Mount Barker,0,0,,,,,,,
138.8581834,-35.0808965,Kavel, ;  Full Wheelchair Access,Mount Barker South Primary School,,0,Princes Rd MOUNT BARKER SA,,SA,Mount Barker South,0,0,,,,,,,
138.5634261,-34.9512714,West Torrens,via Cross Tce;  Assisted Wheelchair Access,Hayhurst Guide Hall,,0,Cnr Daly St & Cross Tce KURRALTA PARK SA,,SA,Kurralta Park,0,0,,,,,,,
138.4949362,-34.8240065,Lee, ;  Assisted Wheelchair Access,Largs Bay Primary School,,1,Cnr Fletcher Rd & Centre St LARGS BAY SA,,SA,Largs Bay,0,0,,,,,,,
138.4959668,-34.8258153,Lee, ;  Full Wheelchair Access,St Albans Anglican Church,,0,Jetty Rd LARGS BAY SA,,SA,Largs Bay Central,0,0,,,,,,,
138.5265778,-34.9260559,Colton, ;  Assisted Wheelchair Access,Christ the King Church,,0,456 Henley Beach Rd LOCKLEYS SA,,SA,Lockleys,0,0,,,,,,,
138.537705,-34.920681,West Torrens, ;  Full Wheelchair Access,Lockleys North Primary School,,0,55 Malurus Ave LOCKLEYS SA,,SA,Lockleys North,0,0,,,,,,,
138.551214,-34.854431,Enfield,Dudley Street;  Full Wheelchair Access,St Patricks School,,0,33a Dudley St MANSFIELD PARK SA,,SA,Mansfield Park,0,0,,,,,,,
138.5793154,-34.9792113,Elder, ;  Full Wheelchair Access,Edwardstown Primary School,,0,Maria St MELROSE PARK SA,,SA,Melrose Park,0,0,,,,,,,
138.543605,-34.9955958,Morphett, ;  Assisted Wheelchair Access,Marion Sports & Leisure,,0,Oaklands Road MORPHETTVILLE SA,,SA,Morphettville,0,0,,,,,,,
138.828149,-34.9199911,Kavel, ;  Assisted Wheelchair Access,Lenswood Uniting Church Hall,,0,Cnr Swamp & Adelaide-Lobethal Rds LENSWOOD SA,,SA,Lenswood,0,0,,,,,,,
138.3991904,-30.5946767,Stuart, ;  Assisted Wheelchair Access,Leigh Creek Area School,,0,Cnr Black Oak Dr & Moonah St LEIGH CREEK SA,,SA,Leigh Creek,0,0,,,,,,,
138.3006747,-33.1831221,Frome, ;  Assisted Wheelchair Access,Laura RSL Hall,,0,33 Herbert St LAURA SA,,SA,Laura,0,0,,,,,,,
139.0855068,-35.3144646,Hammond, ;  Assisted Wheelchair Access,Langhorne Creek Memorial Hall,,0,Wellington Rd LANGHORNE CREEK SA,,SA,Langhorne Creek,0,0,,,,,,,
140.5153757,-35.335793,Chaffey, ;  Full Wheelchair Access,SA Ambulance Station,,0,Chandos Tce LAMEROO SA,,SA,Lameroo,0,0,,,,,,,
138.6205132,-34.7397115,Taylor, ;  Assisted Wheelchair Access,Lake Windemere School,,0,Uraidla Ave SALISBURY NORTH SA,,SA,Lake Windemere,0,0,,,,,,,
140.9260551,-36.8700415,MacKillop, ;  Assisted Wheelchair Access,Kybybolite Memorial Sports Complex,,0,Kiddle St KYBYBOLITE SA,,SA,Kybybolite,0,0,,,,,,,
140.5569305,-37.8992648,Mount Gambier, ;  Assisted Wheelchair Access,Kongorong Soldiers Memorial Institute,,0,Hay Tce KONGORONG SA,,SA,Kongorong,0,0,,,,,,,
135.8699108,-34.7312646,Flinders, ;  Assisted Wheelchair Access,Kirton Point Primary School,,0,47 Matthew Pl PORT LINCOLN SA,,SA,Kirton Point,0,0,,,,,,,
138.6158827,-34.9715659,Waite, ;  Full Wheelchair Access,Mitcham Primary School,,0,Hillview Rd KINGSWOOD SA,,SA,Kingswood,0,0,,,,,,,
134.7556059,-29.0093321,Giles, ;  Assisted Wheelchair Access,TAFE SA Coober Pedy Campus,,0,Post Office Hill Rd & Hutchison St COOBER PEDY SA,,SA,Coober Pedy,0,0,,,,,,,
137.7303013,-35.0420933,Goyder, ;  Full Wheelchair Access,Coobowie Community Hall,,0,Gilbert St COOBOWIE SA,,SA,Coobowie,0,0,,,,,,,
138.514957,-34.981295,Morphett, ;  Assisted Wheelchair Access,St Mary's Hall,,0,17 High St GLENELG SA,,SA,Glenelg,0,0,,,,,,,
140.6029819,-37.6704192,MacKillop, ;  Assisted Wheelchair Access,Glencoe Central Primary School,,0,Kirip Rd GLENCOE SA,,SA,Glencoe,0,0,,,,,,,
138.5238078,-34.9874875,Morphett, ;  Full Wheelchair Access,Glenelg Primary School,,0,Diagonal Rd GLENELG EAST SA,,SA,Glenelg East Central,1,0,,,,,,,
138.520576,-34.980497,Morphett, ;  Assisted Wheelchair Access,St Paul's Lutheran Church Hall,,0,48 Brighton Road GLENELG EAST SA,,SA,Glenelg East,0,0,,,,,,,
138.516976,-34.989565,Morphett, ;  Assisted Wheelchair Access,St Martin's Church,,0,45 Hastings St GLENELG SOUTH SA,,SA,Glenelg South,0,0,,,,,,,
138.5199788,-34.9728653,Morphett, ;  Assisted Wheelchair Access,St Leonards Primary School,,0,Jervois St GLENELG NORTH SA,,SA,Glenelg North,0,0,,,,,,,
140.5434503,-34.2786807,Chaffey, ;  Assisted Wheelchair Access,Glossop High School,,0,Old Sturt Hwy GLOSSOP SA,,SA,Glossop,0,0,,,,,,,
138.5301238,-34.9834938,Morphett, ;  Assisted Wheelchair Access,Glengowrie Uniting Church,,0,Cnr Butler Cres & Beadnall Tce GLENGOWRIE SA,,SA,Glengowrie,0,0,,,,,,,
138.7315977,-34.7744796,Little Para, ;  Assisted Wheelchair Access,Uniting Church,,0,Cnr One Tree Hill & Crouch Rds GOLDEN GROVE SA,,SA,Golden Grove,0,0,,,,,,,
138.6565634,-34.8913692,Hartley, ;  Full Wheelchair Access,Zion Lutheran Church,,0,15 Glynburn Rd GLYNDE SA,,SA,Glynde,0,0,,,,,,,
138.5374477,-35.0031672,Elder, ;  Full Wheelchair Access,Warradale Primary School,,0,Keynes Ave WARRADALE SA,,SA,Warradale,1,0,,,,,,,
138.6161112,-34.887827,Adelaide,off North East Rd;  Full Wheelchair Access,St Monica's Parish School,,0,92 North East Rd WALKERVILLE SA,,SA,Walkerville North,0,0,,,,,,,
138.5332069,-35.141617,Reynell,Main Gymnasium;  Assisted Wheelchair Access,Hackham East Primary School,,0,Collins Pde HACKHAM SA,,SA,Hackham,0,0,,,,,,,
138.6239665,-35.1087625,Fisher, ;  Assisted Wheelchair Access,Clarendon Community Association Hall,,0,Grants Gully Rd CLARENDON SA,,SA,Clarendon,0,0,,,,,,,
138.625781,-34.873206,Enfield, ;  Full Wheelchair Access,Church of Christ Hampstead Gardens,,0,28 Gambia Ave HAMPSTEAD GARDENS SA,,SA,Hampstead Gardens,0,0,,,,,,,
138.610323,-34.852887,Enfield, ;  Assisted Wheelchair Access,The Good Shepherd Community Centre,,0,59 Fairview Tce CLEARVIEW SA,,SA,Clearview,0,0,,,,,,,
138.650189,-34.775459,Ramsay, ;  Assisted Wheelchair Access,Brahma Lodge Primary School,,0,20 Mortess St BRAHMA LODGE SA,,SA,Brahma Lodge,0,0,,,,,,,
138.762636,-35.004275,Heysen, ;  Full Wheelchair Access,Bridgewater Primary School,,0,46 Morella Gr BRIDGEWATER SA,,SA,Bridgewater,0,0,,,,,,,
140.7728735,-36.3128086,MacKillop, ;  Full Wheelchair Access,Bordertown High School,,0,30 South Tce BORDERTOWN SA,,SA,Bordertown,0,0,,,,,,,
138.7239014,-35.0539554,Heysen, ;  Full Wheelchair Access,Longwood Hall,,0,Longwood Rd BRADBURY SA,,SA,Bradbury,0,0,,,,,,,
138.7636505,-33.5627303,Stuart, ;  Assisted Wheelchair Access,Booborowie Town Hall,,0,Cnr North Tce & Fourth St BOOBOROWIE SA,,SA,Booborowie,0,0,,,,,,,
138.351699,-32.881808,Stuart, ;  Assisted Wheelchair Access,Booleroo Centre District Hall,,0,30 Stephens St BOOLEROO CENTRE SA,,SA,Booleroo Centre,0,0,,,,,,,
139.6088899,-34.3521668,Stuart, ;  Assisted Wheelchair Access,Blanchetown Combined Sporting Bodies,,0,Onslow St BLANCHETOWN SA,,SA,Blanchetown,0,0,,,,,,,
138.489123,-33.846603,Frome,enter via carpark at rear of hall;  Full Wheelchair Access,Blyth Community Hall,,0,10 Harley St BLYTH SA,,SA,Blyth,0,0,,,,,,,
138.599425,-34.86093,Enfield,via Audrey Ave;  Full Wheelchair Access,St Paul Lutheran Church Hall,,0,44 Audrey Ave BLAIR ATHOL SA,,SA,Blair Athol,0,0,,,,,,,
138.5979723,-34.852473,Enfield, ;  Full Wheelchair Access,Blair Athol North School B-7,,0,5 Marmion Ave BLAIR ATHOL SA,,SA,Blair Athol North,0,0,,,,,,,
138.63769,-34.876944,Dunstan, ;  Assisted Wheelchair Access,Klemzig Primary School,,0,2 Hay St KLEMZIG SA,,SA,Klemzig,0,0,,,,,,,
138.608667,-34.921025,Adelaide,Main Entrance North Tce;  Full Wheelchair Access,Royal Adelaide Hospital,,0,North Tce ADELAIDE SA,,SA,Adelaide Hospital,0,0,,,,,,,
138.5634261,-34.9512714,Ashford,via Cross Tce;  Assisted Wheelchair Access,Hayhurst Guide Hall,,0,Cnr Daly St & Cross Tce KURRALTA PARK SA,,SA,Kurralta Park,0,0,,,,,,,
137.6271674,-33.9329111,Goyder, ;  Full Wheelchair Access,Wallaroo Town Hall,,0,Cnr Irwin St & John Tce WALLAROO SA,,SA,Wallaroo,0,0,,,,,,,
138.6382134,-34.8371695,Playford, ;  No Wheelchair Access,Walkley Heights Child Care Centre,,0,1-5 Homestead Ave WALKLEY HEIGHTS SA,,SA,Walkley Heights,0,0,,,,,,,
138.612118,-34.894732,Adelaide,off Stephens Tce;  Full Wheelchair Access,Walkerville Primary School,,0,159 Stephen Tce WALKERVILLE SA,,SA,Walkerville,0,0,,,,,,,
139.5017635,-34.7975877,Schubert,via Mallee Road next to CFS shed;  Assisted Wheelchair Access,Walker Flat Hall,,0,142 Mallee ROAD WALKER FLAT SA,,SA,Walker Flat,0,0,,,,,,,
139.9819923,-34.1849984,Chaffey, ;  Full Wheelchair Access,Lutheran Social Centre,,0,Cates Ave WAIKERIE SA,,SA,Waikerie,0,0,,,,,,,
138.5542286,-34.6649085,Taylor, ;  Assisted Wheelchair Access,Virginia Primary School,,0,Park Rd VIRGINIA SA,,SA,Virginia,0,0,,,,,,,
138.6012368,-35.5559308,Finniss,from Victor Harbor ring road;  Full Wheelchair Access,Encounter Centre Inc,,0,42 Armstrong Rd VICTOR HARBOR SA,,SA,Victor Harbor South,0,0,,,,,,,
138.6365121,-35.5278448,Finniss, ;  Full Wheelchair Access,"Encounter Lutheran College ""Kondole Centre""",,0,64 Adelaide Rd VICTOR HARBOR SA,,SA,Victor Harbor East,0,0,,,,,,,
138.6230173,-35.5538849,Finniss, ;  Full Wheelchair Access,Victor Harbor Town Hall,,0,Coral St VICTOR HARBOR SA,,SA,Victor Harbor,0,0,,,,,,,
138.626594,-34.885311,Dunstan,Wheelchair access >50m from carparking;  Assisted Wheelchair Access,Vale Park Primary School,,1,40-56 Ascot Ave VALE PARK SA,,SA,Vale Park,0,0,,,,,,,
136.102731,-34.37734,Flinders, ;  Assisted Wheelchair Access,Tumby Bay Senior Citizens Clubrooms,,0,11 Tumby Tce TUMBY BAY SA,,SA,Tumby Bay,0,0,,,,,,,
138.6423491,-34.9376438,Bragg, ;  Full Wheelchair Access,Burnside City Uniting Church,,0,384 Portrush Rd TUSMORE SA,,SA,Tusmore,0,0,,,,,,,
138.6412338,-34.9084254,Dunstan,Disabled access only via Amherst Ave;  Assisted Wheelchair Access,Trinity Gardens Primary School,,0,160 Portrush Rd TRINITY GARDENS SA,,SA,Trinity Gardens,0,0,,,,,,,
139.127174,-34.4086933,Stuart, ;  Assisted Wheelchair Access,Truro Town Hall,,0,Moorundie St TRURO SA,,SA,Truro,0,0,,,,,,,
138.6004,-34.9605142,Unley, ;  Assisted Wheelchair Access,Unley Park Baptist Church,,0,Northgate Street UNLEY PARK SA,,SA,Unley Park,0,0,,,,,,,
138.6097973,-34.9536017,Unley,enter via Rugby Street;  Full Wheelchair Access,Unley Primary School,,0,Cnr Cremorne St & Rugby St UNLEY SA,,SA,Unley South,0,0,,,,,,,
136.0493552,-34.1776326,Flinders, ;  No Wheelchair Access,Ungarra Hall,,0,Cnr Pedler & Schramm Sts UNGARRA SA,,SA,Ungarra,0,0,,,,,,,
138.607915,-34.950759,Unley,access via Oxford Terrace;  Full Wheelchair Access,Unley Civic Centre,,0,181 Unley Rd UNLEY SA,,SA,Unley,0,0,,,,,,,
138.6861356,-35.0186315,Heysen, ;  Assisted Wheelchair Access,Upper Sturt Primary School,,0,118 Upper Sturt Rd UPPER STURT SA,,SA,Upper Sturt,0,0,,,,,,,
138.7421546,-34.9593871,Bragg, ;  Full Wheelchair Access,Uraidla Primary School,,0,17 Kidney St URAIDLA SA,,SA,Uraidla,0,0,,,,,,,
